"genotype","env","block","rep","yield","brix","fruit_wt","maturity"
"TOM-053","SITE-2","SITE-2-B3",3,120.98,4.88,58.8,111.3
"TOM-054","SITE-2","SITE-2-B3",3,107.63,6.12,82.2,112.2
"TOM-055","SITE-2","SITE-2-B3",3,87.34,5.71,71.4,114.8
"TOM-056","SITE-2","SITE-2-B3",3,98.54,5.02,57.9,112
"TOM-057","SITE-2","SITE-2-B3",3,93.42,5.35,55.3,116.7
"TOM-058","SITE-2","SITE-2-B3",3,102.39,7.57,67.9,115.2
"TOM-059","SITE-2","SITE-2-B3",3,82.7,6.25,69.1,114.9
"TOM-060","SITE-2","SITE-2-B3",3,110.34,6.44,71.6,109.2
"TOM-001","SITE-3","SITE-3-B1",1,109.85,4.78,58.5,119.5
"TOM-002","SITE-3","SITE-3-B1",1,85.56,5.41,50.6,112.2
"TOM-003","SITE-3","SITE-3-B1",1,92.48,6.2,59.4,116.2
"TOM-004","SITE-3","SITE-3-B1",1,87.31,6.98,57.3,120
"TOM-005","SITE-3","SITE-3-B1",1,83.71,5.2,64.6,118.1
"TOM-006","SITE-3","SITE-3-B1",1,93.49,7,54.6,120
"TOM-007","SITE-3","SITE-3-B1",1,121.16,6.11,62.7,124.2
"TOM-008","SITE-3","SITE-3-B1",1,92.08,5.58,43,118
"TOM-009","SITE-3","SITE-3-B1",1,104.8,5.22,62.3,115.1
"TOM-010","SITE-3","SITE-3-B1",1,107.62,5.65,51.9,114
"TOM-011","SITE-3","SITE-3-B1",1,101.72,4.89,65.5,118.1
"TOM-012","SITE-3","SITE-3-B1",1,106.4,4.89,55.4,123.4
"TOM-013","SITE-3","SITE-3-B1",1,68.65,6.92,56.8,117.8
"TOM-014","SITE-3","SITE-3-B1",1,91.5,5.54,70.4,112.6
"TOM-015","SITE-3","SITE-3-B1",1,104.52,6.23,72.8,116.6
"TOM-016","SITE-3","SITE-3-B1",1,107.15,5.66,62,127.8
"TOM-017","SITE-3","SITE-3-B1",1,94.07,5.45,60.1,122.6
"TOM-018","SITE-3","SITE-3-B1",1,71.07,6.15,71.3,122.7
"TOM-019","SITE-3","SITE-3-B1",1,95.09,4.9,51.9,122.7
"TOM-020","SITE-3","SITE-3-B1",1,102.6,5.29,67.2,121.9
"TOM-021","SITE-3","SITE-3-B1",1,87.21,6.76,56.2,109.7
"TOM-022","SITE-3","SITE-3-B1",1,81.7,5.63,65.3,115.9
"TOM-023","SITE-3","SITE-3-B1",1,105.11,5.84,68.1,120.4
"TOM-024","SITE-3","SITE-3-B1",1,93.95,5.06,63.2,124.9
"TOM-025","SITE-3","SITE-3-B1",1,114.91,4.75,67.5,119.5
"TOM-026","SITE-3","SITE-3-B1",1,85.64,6.96,63,115.1
"TOM-027","SITE-3","SITE-3-B1",1,86.19,6.04,50.3,113.7
"TOM-028","SITE-3","SITE-3-B1",1,77.01,5.05,43.8,117.4
"TOM-029","SITE-3","SITE-3-B1",1,112.28,6.12,69.4,118.8
"TOM-030","SITE-3","SITE-3-B1",1,95.37,5.94,47.4,118.7
"TOM-031","SITE-3","SITE-3-B1",1,105,6.1,69,111.1
"TOM-032","SITE-3","SITE-3-B1",1,86.4,5.51,55.9,126.3
"TOM-033","SITE-3","SITE-3-B1",1,100.05,5.68,68.6,113.2
"TOM-034","SITE-3","SITE-3-B1",1,89.34,5.87,56.4,121.3
"TOM-035","SITE-3","SITE-3-B1",1,105.24,6.03,59.9,124.7
"TOM-036","SITE-3","SITE-3-B1",1,74.45,5.75,45.1,118.7
"TOM-037","SITE-3","SITE-3-B1",1,87.11,5.55,67.4,115.2
"TOM-038","SITE-3","SITE-3-B1",1,94.56,5.03,58.1,125.9
"TOM-039","SITE-3","SITE-3-B1",1,85.66,5.24,48.2,119.9
"TOM-040","SITE-3","SITE-3-B1",1,103.18,5.95,70.4,109.7
"TOM-041","SITE-3","SITE-3-B1",1,92.14,6.23,61.2,121.9
"TOM-042","SITE-3","SITE-3-B1",1,86.34,6.22,47.3,117.2
"TOM-043","SITE-3","SITE-3-B1",1,102.5,4.45,67.9,117.8
"TOM-044","SITE-3","SITE-3-B1",1,92.71,6.73,55.3,119.2
"TOM-045","SITE-3","SITE-3-B1",1,79.62,5.71,67.4,120.3
"TOM-046","SITE-3","SITE-3-B1",1,82.78,6.38,68,122.1
"TOM-047","SITE-3","SITE-3-B1",1,96.51,4.62,51.9,119.9
"TOM-048","SITE-3","SITE-3-B1",1,115.33,5.19,73.9,117.6
"TOM-049","SITE-3","SITE-3-B1",1,96.82,5.29,63.4,115.1
"TOM-050","SITE-3","SITE-3-B1",1,94.04,5.49,61.3,127.9
"TOM-051","SITE-3","SITE-3-B1",1,103.8,5.48,58.6,122.5
"TOM-052","SITE-3","SITE-3-B1",1,89.33,6.03,73,119
"TOM-053","SITE-3","SITE-3-B1",1,113.83,4.61,57.3,108.2
"TOM-054","SITE-3","SITE-3-B1",1,109.41,5.23,80.9,109.5
"TOM-055","SITE-3","SITE-3-B1",1,85.3,4.81,66,114.7
"TOM-056","SITE-3","SITE-3-B1",1,97.14,5.25,71.9,122
"TOM-057","SITE-3","SITE-3-B1",1,115.77,5.23,49.7,125.7
"TOM-058","SITE-3","SITE-3-B1",1,102.59,6.74,69.1,118.8
"TOM-059","SITE-3","SITE-3-B1",1,72.03,5.12,61.4,124.1
"TOM-060","SITE-3","SITE-3-B1",1,78.86,5.15,60.1,114.7
"TOM-001","SITE-3","SITE-3-B2",2,114.04,4.47,57.4,124.6
"TOM-002","SITE-3","SITE-3-B2",2,96.94,6.71,52.4,118.4
"TOM-003","SITE-3","SITE-3-B2",2,109.4,5.66,60,119.2
"TOM-004","SITE-3","SITE-3-B2",2,115.26,5.24,57.3,122.4
"TOM-005","SITE-3","SITE-3-B2",2,104.78,5.15,61.5,120.8
"TOM-006","SITE-3","SITE-3-B2",2,126.26,5.86,63.6,116.8
"TOM-007","SITE-3","SITE-3-B2",2,111.96,5.41,54.3,124.1
"TOM-008","SITE-3","SITE-3-B2",2,97.19,5.63,52.2,121.4
"TOM-009","SITE-3","SITE-3-B2",2,133.11,5.42,52.3,116.8
"TOM-010","SITE-3","SITE-3-B2",2,93.29,6.12,68.7,113.9
"TOM-011","SITE-3","SITE-3-B2",2,123.34,5.22,68.7,116.6
"TOM-012","SITE-3","SITE-3-B2",2,120.93,5.82,61.6,121.2
"TOM-013","SITE-3","SITE-3-B2",2,78.39,6.27,60.5,119.9
"TOM-014","SITE-3","SITE-3-B2",2,85.92,5.07,76.1,119.9
"TOM-015","SITE-3","SITE-3-B2",2,111.18,5.61,81.1,117.3
"TOM-016","SITE-3","SITE-3-B2",2,90.98,6.11,56.7,119.3
"TOM-017","SITE-3","SITE-3-B2",2,120.15,5.66,59,119.1
"TOM-018","SITE-3","SITE-3-B2",2,87.92,6.48,72.8,121.6
"TOM-019","SITE-3","SITE-3-B2",2,72.78,6.07,60.5,124.7
"TOM-020","SITE-3","SITE-3-B2",2,118.72,4.65,64,117.7
"TOM-021","SITE-3","SITE-3-B2",2,96.66,6.8,63.3,111.3
"TOM-022","SITE-3","SITE-3-B2",2,74.9,6.59,47.9,126.1
"TOM-023","SITE-3","SITE-3-B2",2,100.63,5.94,59,124.5
"TOM-024","SITE-3","SITE-3-B2",2,124.74,6.01,66.7,124.1
"TOM-025","SITE-3","SITE-3-B2",2,113.03,4.64,67.5,113.4
"TOM-026","SITE-3","SITE-3-B2",2,99.44,5.2,61.6,118.5
"TOM-027","SITE-3","SITE-3-B2",2,90.1,5.74,56.5,119.3
"TOM-028","SITE-3","SITE-3-B2",2,91.91,5.65,50.4,119.3
"TOM-029","SITE-3","SITE-3-B2",2,94.12,6.09,69.9,115.6
"TOM-030","SITE-3","SITE-3-B2",2,103.7,6.69,59.8,119
"TOM-031","SITE-3","SITE-3-B2",2,114.83,6.56,56.8,113
"TOM-032","SITE-3","SITE-3-B2",2,109.29,4.48,55.5,126.4
"TOM-033","SITE-3","SITE-3-B2",2,114.03,5.36,73.2,119.8
"TOM-034","SITE-3","SITE-3-B2",2,105.5,6.49,56.8,121.3
"TOM-035","SITE-3","SITE-3-B2",2,127.12,5.14,66.6,118.7
"TOM-036","SITE-3","SITE-3-B2",2,71.06,5.45,40.9,122.7
"TOM-037","SITE-3","SITE-3-B2",2,86.42,6.08,52,120.2
"TOM-038","SITE-3","SITE-3-B2",2,97.36,4.86,48.5,123.6
"TOM-039","SITE-3","SITE-3-B2",2,103.09,6,53.5,121.5
"TOM-040","SITE-3","SITE-3-B2",2,99.41,5.88,73,116.3
"TOM-041","SITE-3","SITE-3-B2",2,116.23,6.21,64.3,123
"TOM-042","SITE-3","SITE-3-B2",2,90.44,5.91,56.5,122.1
"TOM-043","SITE-3","SITE-3-B2",2,111.87,4.93,61,122.1
"TOM-044","SITE-3","SITE-3-B2",2,99.89,6.41,60.6,114.8
"TOM-045","SITE-3","SITE-3-B2",2,79.34,5.13,64,119.6
"TOM-046","SITE-3","SITE-3-B2",2,112.55,5.29,72.1,119.9
"TOM-047","SITE-3","SITE-3-B2",2,74.49,5.34,48.6,121.2
"TOM-048","SITE-3","SITE-3-B2",2,116.56,5.36,70.6,120.5
"TOM-049","SITE-3","SITE-3-B2",2,82.11,6.3,58.1,114.4
"TOM-050","SITE-3","SITE-3-B2",2,130.99,5.36,62.6,124.7
"TOM-051","SITE-3","SITE-3-B2",2,110.99,5.52,46.4,122.1
"TOM-052","SITE-3","SITE-3-B2",2,87.8,5.01,55.9,121.3
"TOM-053","SITE-3","SITE-3-B2",2,116.83,5.34,52.9,110.7
"TOM-054","SITE-3","SITE-3-B2",2,105.09,5.87,66.7,118.6
"TOM-055","SITE-3","SITE-3-B2",2,107.21,5.56,73.2,112.7
"TOM-056","SITE-3","SITE-3-B2",2,123.45,4.6,54.5,121.1
"TOM-057","SITE-3","SITE-3-B2",2,98.5,5.11,61.8,123.9
"TOM-058","SITE-3","SITE-3-B2",2,119.99,5.34,61.7,123.5
"TOM-059","SITE-3","SITE-3-B2",2,69.17,5.83,50.1,117.4
"TOM-060","SITE-3","SITE-3-B2",2,107.02,5.88,52.7,116.5
"TOM-001","SITE-3","SITE-3-B3",3,98.01,5.19,55.5,118.7
"TOM-002","SITE-3","SITE-3-B3",3,78.76,6.22,54.9,119.5
"TOM-003","SITE-3","SITE-3-B3",3,108.28,5.5,57,123.9
"TOM-004","SITE-3","SITE-3-B3",3,95.13,5.83,59.2,120.2
"TOM-005","SITE-3","SITE-3-B3",3,114.57,6.33,65.3,117
"TOM-006","SITE-3","SITE-3-B3",3,88.23,5.98,50.4,121
"TOM-007","SITE-3","SITE-3-B3",3,110.62,5.35,60.2,126.2
"TOM-008","SITE-3","SITE-3-B3",3,94.34,6.44,53,125.6
"TOM-009","SITE-3","SITE-3-B3",3,105.72,5.37,67.8,115.4
"TOM-010","SITE-3","SITE-3-B3",3,84,5.69,65.4,108.2
"TOM-011","SITE-3","SITE-3-B3",3,117.83,5.17,68.4,121.3
"TOM-012","SITE-3","SITE-3-B3",3,85.58,5.33,70.3,116.3
"TOM-013","SITE-3","SITE-3-B3",3,90.98,5.92,52.9,123.6
"TOM-014","SITE-3","SITE-3-B3",3,92.39,5.72,62,114
"TOM-015","SITE-3","SITE-3-B3",3,98.47,5.8,75.4,116.8
"TOM-016","SITE-3","SITE-3-B3",3,90.91,5.17,62.4,124.9
"TOM-017","SITE-3","SITE-3-B3",3,105.06,6.94,55.9,118.9
"TOM-018","SITE-3","SITE-3-B3",3,71.7,5.63,74.2,123.2
"TOM-019","SITE-3","SITE-3-B3",3,71.46,6.55,57,125.9
"TOM-020","SITE-3","SITE-3-B3",3,111.4,5.08,79.5,116.2
"TOM-021","SITE-3","SITE-3-B3",3,85.59,5.24,68.1,113
"TOM-022","SITE-3","SITE-3-B3",3,97.2,5.3,58.7,122.5
"TOM-023","SITE-3","SITE-3-B3",3,102.4,5.73,61.1,124.1
"TOM-024","SITE-3","SITE-3-B3",3,103.52,5.85,77.3,126.9
"TOM-025","SITE-3","SITE-3-B3",3,118.25,4.48,73.9,119.9
"TOM-026","SITE-3","SITE-3-B3",3,93.2,5.64,70.2,111.2
"TOM-027","SITE-3","SITE-3-B3",3,90.79,5.28,62.5,116.7
"TOM-028","SITE-3","SITE-3-B3",3,84.59,5.88,54,114.3
"TOM-029","SITE-3","SITE-3-B3",3,108.73,6.11,75.3,121.3
"TOM-030","SITE-3","SITE-3-B3",3,94.38,5.92,52.8,121.5
"TOM-031","SITE-3","SITE-3-B3",3,96.76,5.92,64.5,120.1
"TOM-032","SITE-3","SITE-3-B3",3,110.11,5.75,48.4,123.8
"TOM-033","SITE-3","SITE-3-B3",3,105.44,5.9,73.8,123.3
"TOM-034","SITE-3","SITE-3-B3",3,105.39,6.05,54.9,126
"TOM-035","SITE-3","SITE-3-B3",3,90.49,4.87,67.4,126
"TOM-036","SITE-3","SITE-3-B3",3,76.87,5.43,56.6,115.7
"TOM-037","SITE-3","SITE-3-B3",3,83.26,4.74,67.6,119.8
"TOM-038","SITE-3","SITE-3-B3",3,88.21,4.97,51.1,128.8
"TOM-039","SITE-3","SITE-3-B3",3,88.47,6.27,57.8,120.3
"TOM-040","SITE-3","SITE-3-B3",3,99.76,6.57,86,114.9
"TOM-041","SITE-3","SITE-3-B3",3,103.72,6.01,72.6,124.4
"TOM-042","SITE-3","SITE-3-B3",3,101.53,5.89,62.6,118.6
"TOM-043","SITE-3","SITE-3-B3",3,109.4,5.95,69.4,116.9
"TOM-044","SITE-3","SITE-3-B3",3,104.65,7.17,72.1,121.8
"TOM-045","SITE-3","SITE-3-B3",3,90.79,5.55,70.9,121.5
"TOM-046","SITE-3","SITE-3-B3",3,104.33,5.63,74.6,121.1
"TOM-047","SITE-3","SITE-3-B3",3,98.2,5.81,50.9,118.4
"TOM-048","SITE-3","SITE-3-B3",3,99.11,5.32,68.2,119
"TOM-049","SITE-3","SITE-3-B3",3,98.03,5.72,71.7,117.1
"TOM-050","SITE-3","SITE-3-B3",3,99.24,5.39,66.3,128.2
"TOM-051","SITE-3","SITE-3-B3",3,111.5,5.35,58.4,117
"TOM-052","SITE-3","SITE-3-B3",3,92.84,5.96,68.9,128.6
"TOM-053","SITE-3","SITE-3-B3",3,120.96,5.56,54.3,117.7
"TOM-054","SITE-3","SITE-3-B3",3,97,4.39,64.9,115.9
"TOM-055","SITE-3","SITE-3-B3",3,97.45,5.29,70.5,121.4
"TOM-056","SITE-3","SITE-3-B3",3,87.01,5.99,63.8,117.9
"TOM-057","SITE-3","SITE-3-B3",3,112.6,4.62,56.8,121.3
"TOM-058","SITE-3","SITE-3-B3",3,89.95,6.91,79.7,121.8
"TOM-059","SITE-3","SITE-3-B3",3,80.31,5.52,64.2,122.2
"TOM-060","SITE-3","SITE-3-B3",3,109.03,6,67.2,119.9
"TOM-001","SITE-4","SITE-4-B1",1,115.25,4.83,58.6,107
"TOM-002","SITE-4","SITE-4-B1",1,116.1,6.1,64.6,108.7
"TOM-003","SITE-4","SITE-4-B1",1,104.1,5.04,79.2,111.4
"TOM-004","SITE-4","SITE-4-B1",1,86.93,5.38,64.3,111.7
"TOM-005","SITE-4","SITE-4-B1",1,92.92,4.6,69.4,108
"TOM-006","SITE-4","SITE-4-B1",1,100.89,5.34,68.3,101.4
"TOM-007","SITE-4","SITE-4-B1",1,119.15,4.48,71,110.7
"TOM-008","SITE-4","SITE-4-B1",1,99.16,5.78,47.7,116.6
"TOM-009","SITE-4","SITE-4-B1",1,131.19,5.24,65.4,107.4
"TOM-010","SITE-4","SITE-4-B1",1,97.04,5.37,64.1,103.4
"TOM-011","SITE-4","SITE-4-B1",1,124.64,4.61,74.4,112
"TOM-012","SITE-4","SITE-4-B1",1,119.81,5.4,67.7,104.5
"TOM-013","SITE-4","SITE-4-B1",1,96.12,4.47,58.2,110.6
"TOM-014","SITE-4","SITE-4-B1",1,103.51,4.09,88.6,105.3
"TOM-015","SITE-4","SITE-4-B1",1,102.61,4.33,82,108.4
"TOM-016","SITE-4","SITE-4-B1",1,108.15,5.95,65,111.1
"TOM-017","SITE-4","SITE-4-B1",1,116.12,5.71,65.1,111.4
"TOM-018","SITE-4","SITE-4-B1",1,63.28,5.61,71,109.3
"TOM-019","SITE-4","SITE-4-B1",1,84.35,5.09,58.1,119.4
"TOM-020","SITE-4","SITE-4-B1",1,109.3,4.64,62.9,105
"TOM-021","SITE-4","SITE-4-B1",1,110.39,5.3,65,101.1
"TOM-022","SITE-4","SITE-4-B1",1,104.95,5.59,64.4,111.4
"TOM-023","SITE-4","SITE-4-B1",1,91.3,5.21,53.5,114.8
"TOM-024","SITE-4","SITE-4-B1",1,124.35,4.64,66.8,123.1
"TOM-025","SITE-4","SITE-4-B1",1,111.53,4.66,62.2,103.6
"TOM-026","SITE-4","SITE-4-B1",1,119.82,5.12,77.7,108.9
"TOM-027","SITE-4","SITE-4-B1",1,100.41,4.89,69.5,110.3
"TOM-028","SITE-4","SITE-4-B1",1,90.43,5.41,57.8,107.8
"TOM-029","SITE-4","SITE-4-B1",1,86.49,5.21,69.1,109.5
"TOM-030","SITE-4","SITE-4-B1",1,98.55,5.16,62.2,111.6
"TOM-031","SITE-4","SITE-4-B1",1,81.45,5.42,70.4,101
"TOM-032","SITE-4","SITE-4-B1",1,96.46,4.66,63.6,120.5
"TOM-033","SITE-4","SITE-4-B1",1,117.72,4.82,82,115.3
"TOM-034","SITE-4","SITE-4-B1",1,92.85,5.94,69.8,107.7
"TOM-035","SITE-4","SITE-4-B1",1,102.06,4.83,71.2,110.2
"TOM-036","SITE-4","SITE-4-B1",1,93.44,4.82,59.7,108.2
"TOM-037","SITE-4","SITE-4-B1",1,104.2,4.46,76,109.9
"TOM-038","SITE-4","SITE-4-B1",1,88.49,4.35,63.1,117.6
"TOM-039","SITE-4","SITE-4-B1",1,72.62,6.31,58.2,115.4
"TOM-040","SITE-4","SITE-4-B1",1,111.07,5.76,67.6,104.7
"TOM-041","SITE-4","SITE-4-B1",1,95.83,5.34,70.6,115.2
"TOM-042","SITE-4","SITE-4-B1",1,92.89,5.3,43.5,112.8
"TOM-043","SITE-4","SITE-4-B1",1,99.35,4.89,71.1,111.5
"TOM-044","SITE-4","SITE-4-B1",1,89.38,6.69,68.3,109.2
"TOM-045","SITE-4","SITE-4-B1",1,90.46,4.79,82.5,110.8
"TOM-046","SITE-4","SITE-4-B1",1,114.38,4.59,79.5,107.5
"TOM-047","SITE-4","SITE-4-B1",1,108.63,5.11,69.3,114.1
"TOM-048","SITE-4","SITE-4-B1",1,109.81,5.01,78,111
"TOM-049","SITE-4","SITE-4-B1",1,95.62,5.41,75,108.6
"TOM-050","SITE-4","SITE-4-B1",1,110.06,4.51,70.9,113.9
"TOM-051","SITE-4","SITE-4-B1",1,108.04,4.4,63.6,108.3
"TOM-052","SITE-4","SITE-4-B1",1,104.07,5.5,76.2,112.1
"TOM-053","SITE-4","SITE-4-B1",1,106.18,5.01,64.2,104.2
"TOM-054","SITE-4","SITE-4-B1",1,110.67,5.61,76.8,108.2
"TOM-055","SITE-4","SITE-4-B1",1,92.25,4.52,72.9,110.1
"TOM-056","SITE-4","SITE-4-B1",1,97.62,4.86,77.1,110.5
"TOM-057","SITE-4","SITE-4-B1",1,100.45,4.07,60.9,115
"TOM-058","SITE-4","SITE-4-B1",1,103.72,5.92,74.1,106.9
"TOM-059","SITE-4","SITE-4-B1",1,82.06,4.34,57,111.4
"TOM-060","SITE-4","SITE-4-B1",1,90.96,4.25,77.5,106.1
"TOM-001","SITE-4","SITE-4-B2",2,107.49,4.18,61.3,112.9
"TOM-002","SITE-4","SITE-4-B2",2,94.46,5.71,49.1,106.6
"TOM-003","SITE-4","SITE-4-B2",2,94.82,5.71,80.1,118
"TOM-004","SITE-4","SITE-4-B2",2,95.99,5.55,63.4,115.4
"TOM-005","SITE-4","SITE-4-B2",2,105.88,5.17,65.6,108.9
"TOM-006","SITE-4","SITE-4-B2",2,90.31,5.33,84.9,111.6
"TOM-007","SITE-4","SITE-4-B2",2,103.29,4.47,68.4,111.4
"TOM-008","SITE-4","SITE-4-B2",2,106.78,5.24,53.9,112.2
"TOM-009","SITE-4","SITE-4-B2",2,124.54,5.21,68.7,109.9
"TOM-010","SITE-4","SITE-4-B2",2,109.04,5.72,75.2,109.8
"TOM-011","SITE-4","SITE-4-B2",2,116.53,3.63,94.4,108.9
"TOM-012","SITE-4","SITE-4-B2",2,135.49,4.91,74.4,113.6
"TOM-013","SITE-4","SITE-4-B2",2,96.85,5.94,76.4,115.8
"TOM-014","SITE-4","SITE-4-B2",2,105.37,5.05,78.5,104.1
"TOM-015","SITE-4","SITE-4-B2",2,94.32,4.49,84.7,108.2
"TOM-016","SITE-4","SITE-4-B2",2,100.85,5.03,62.6,119
"TOM-017","SITE-4","SITE-4-B2",2,98.14,5.16,68,115.2
"TOM-018","SITE-4","SITE-4-B2",2,74.34,6.54,71,113.9
"TOM-019","SITE-4","SITE-4-B2",2,84.63,6.12,50.8,116.9
"TOM-020","SITE-4","SITE-4-B2",2,124.2,3.9,71.2,113.2
"TOM-021","SITE-4","SITE-4-B2",2,92.56,6.19,76.2,105.8
"TOM-022","SITE-4","SITE-4-B2",2,79.04,5.02,66.2,112
"TOM-023","SITE-4","SITE-4-B2",2,107.97,5.6,68.1,115.4
"TOM-024","SITE-4","SITE-4-B2",2,120.09,4.8,79.2,121.3
"TOM-025","SITE-4","SITE-4-B2",2,121.7,4.84,75.2,102.6
"TOM-026","SITE-4","SITE-4-B2",2,96.27,5.8,82.6,109.7
"TOM-027","SITE-4","SITE-4-B2",2,87.25,4.67,76.7,109.5
"TOM-028","SITE-4","SITE-4-B2",2,90.38,4.92,66.1,105.6
"TOM-029","SITE-4","SITE-4-B2",2,104.33,4.91,89.9,109
"TOM-030","SITE-4","SITE-4-B2",2,88.83,6,67.1,110.7
"TOM-031","SITE-4","SITE-4-B2",2,112.69,5.21,60.4,102.9
"TOM-032","SITE-4","SITE-4-B2",2,111.49,4.14,57.4,112.2
"TOM-033","SITE-4","SITE-4-B2",2,104.9,4.94,88.7,112.4
"TOM-034","SITE-4","SITE-4-B2",2,88.74,6.32,69.6,109.5
"TOM-035","SITE-4","SITE-4-B2",2,104.93,4.64,73.3,106.7
"TOM-036","SITE-4","SITE-4-B2",2,99.12,4.8,57.2,108.1
"TOM-037","SITE-4","SITE-4-B2",2,87.75,4.84,73.8,117.6
"TOM-038","SITE-4","SITE-4-B2",2,99.95,4.36,62.3,120
"TOM-039","SITE-4","SITE-4-B2",2,82.03,5.29,51.8,110.7
"TOM-040","SITE-4","SITE-4-B2",2,97.78,5.7,74.5,105.8
"TOM-041","SITE-4","SITE-4-B2",2,92.35,6,80.4,115.5
"TOM-042","SITE-4","SITE-4-B2",2,102.62,5.05,59.7,113.7
"TOM-043","SITE-4","SITE-4-B2",2,94.06,5.1,72.2,107
"TOM-044","SITE-4","SITE-4-B2",2,99.82,6.19,60.3,108.8
"TOM-045","SITE-4","SITE-4-B2",2,98.28,4.46,68.3,116.1
"TOM-046","SITE-4","SITE-4-B2",2,113.27,5.15,99.9,108.9
"TOM-047","SITE-4","SITE-4-B2",2,90.8,5.19,74.8,112.5
"TOM-048","SITE-4","SITE-4-B2",2,108.07,5.56,89.7,111.9
"TOM-049","SITE-4","SITE-4-B2",2,102.01,4.45,85.1,108.7
"TOM-050","SITE-4","SITE-4-B2",2,100.74,5.13,74.3,113.9
"TOM-051","SITE-4","SITE-4-B2",2,114.95,5.46,75.1,105.6
"TOM-052","SITE-4","SITE-4-B2",2,98.38,6.15,76.1,115.8
"TOM-053","SITE-4","SITE-4-B2",2,110.82,4.58,68.1,109.3
"TOM-054","SITE-4","SITE-4-B2",2,102.76,4.97,82.8,107.7
"TOM-055","SITE-4","SITE-4-B2",2,104.4,4.2,73.7,112.5
"TOM-056","SITE-4","SITE-4-B2",2,106.21,5.71,85,113.6
"TOM-057","SITE-4","SITE-4-B2",2,100.31,4.82,53.9,112.5
"TOM-058","SITE-4","SITE-4-B2",2,108.7,5.88,82.5,111.6
"TOM-059","SITE-4","SITE-4-B2",2,68.82,5.32,74,111.8
"TOM-060","SITE-4","SITE-4-B2",2,116.08,4.47,64.7,109.3
"TOM-001","SITE-4","SITE-4-B3",3,106.62,4.04,67.2,112
"TOM-002","SITE-4","SITE-4-B3",3,98.25,5.91,66.8,110
"TOM-003","SITE-4","SITE-4-B3",3,97.84,5,66.1,112.9
"TOM-004","SITE-4","SITE-4-B3",3,116.83,5.05,63.4,115
"TOM-005","SITE-4","SITE-4-B3",3,106.09,5.06,79.3,107.3
"TOM-006","SITE-4","SITE-4-B3",3,92.19,6.23,63.2,104.7
"TOM-007","SITE-4","SITE-4-B3",3,120.02,4.82,70.9,115.9
"TOM-008","SITE-4","SITE-4-B3",3,98.5,6.06,53.9,108.9
"TOM-009","SITE-4","SITE-4-B3",3,135.83,4.72,74.2,111
"TOM-010","SITE-4","SITE-4-B3",3,109.28,5.46,70.2,100.8
"TOM-011","SITE-4","SITE-4-B3",3,99.71,4.14,81.7,113
"TOM-012","SITE-4","SITE-4-B3",3,123.98,4.61,77.5,111.1
"TOM-013","SITE-4","SITE-4-B3",3,83.32,5.44,75.4,110.1
"TOM-014","SITE-4","SITE-4-B3",3,111.97,4.4,87.7,107.9
"TOM-015","SITE-4","SITE-4-B3",3,95.94,5.62,69.3,104.1
"TOM-016","SITE-4","SITE-4-B3",3,113.01,5.15,71,116.4
"TOM-017","SITE-4","SITE-4-B3",3,115.53,5.88,77.3,108.7
"TOM-018","SITE-4","SITE-4-B3",3,68.74,5.86,68.1,111.5
"TOM-019","SITE-4","SITE-4-B3",3,75.2,4.86,58.8,119.1
"TOM-020","SITE-4","SITE-4-B3",3,117.7,4.06,79.9,107.1
"TOM-021","SITE-4","SITE-4-B3",3,85.75,5.4,65.3,103.8
"TOM-022","SITE-4","SITE-4-B3",3,77.09,5.39,57.2,115.1
"TOM-023","SITE-4","SITE-4-B3",3,100.17,5.88,73.4,112.5
"TOM-024","SITE-4","SITE-4-B3",3,111.92,4.22,69.4,115.9
"TOM-025","SITE-4","SITE-4-B3",3,117.76,3.96,65.1,105.4
"TOM-026","SITE-4","SITE-4-B3",3,90.64,4.86,75.2,112.1
"TOM-027","SITE-4","SITE-4-B3",3,91.62,5.24,73,106.4
"TOM-028","SITE-4","SITE-4-B3",3,99.93,5.31,74.7,106.4
"TOM-029","SITE-4","SITE-4-B3",3,98.92,5.32,77.3,116.9
"TOM-030","SITE-4","SITE-4-B3",3,95.77,5.28,53.9,110.1
"TOM-031","SITE-4","SITE-4-B3",3,93.15,5.83,80.4,105.9
"TOM-032","SITE-4","SITE-4-B3",3,121.06,4.33,53.5,122.5
"TOM-033","SITE-4","SITE-4-B3",3,114.06,5.03,96.9,115.1
"TOM-034","SITE-4","SITE-4-B3",3,100.57,6.37,56.6,109.9
"TOM-035","SITE-4","SITE-4-B3",3,109.51,4.51,69,116.3
"TOM-036","SITE-4","SITE-4-B3",3,81.01,5.63,59,107.9
"TOM-037","SITE-4","SITE-4-B3",3,88.4,5.42,70.2,107.1
"TOM-038","SITE-4","SITE-4-B3",3,103.84,4.18,68.6,116.7
"TOM-039","SITE-4","SITE-4-B3",3,77.7,6.64,68.9,109.3
"TOM-040","SITE-4","SITE-4-B3",3,106.82,5.07,72.1,107.4
"TOM-041","SITE-4","SITE-4-B3",3,102.54,5.59,83.7,111.6
"TOM-042","SITE-4","SITE-4-B3",3,102.31,5.38,58.1,107.9
"TOM-043","SITE-4","SITE-4-B3",3,122.06,4.81,69.4,110.2
"TOM-044","SITE-4","SITE-4-B3",3,80.37,5.58,68.3,109.6
"TOM-045","SITE-4","SITE-4-B3",3,101.58,4.7,63.6,115.1
